Student_ID,School,Grade_Level,Gender,Subject,Teacher,Attendance_Rate,Homework_Score,Midterm_Score,Final_Exam_Score,Overall_Score
S1264,Greenfield Academy,JSS1,Male,Physics,Mrs. Okeke,81.5,90.6,77.9,86.8,84.9
S1265,Lakeside School,SS3,Male,English,Mr. Ade,99.7,70.1,75.6,33.1,53.2
S1266,Hilltop College,SS3,Female,Mathematics,Mrs. Hassan,94.3,98.9,53.4,50.8,61.2
S1267,Hilltop College,JSS3,Female,Chemistry,Mr. Ade,63.9,45.8,59.6,49.6,51.8
S1268,Greenfield Academy,SS3,Male,English,Mr. Yusuf,88.3,58.2,41.7,40.2,44.2
S1269,Greenfield Academy,SS1,Male,Biology,Mrs. Mensah,73.8,78.3,81.7,50.2,65.3
S1270,Lakeside School,JSS2,Female,Chemistry,Mr. Ade,60.3,61.0,67.8,51.7,58.4
S1271,Hilltop College,JSS2,Female,Economics,Mr. Ade,76.1,95.7,81.1,66.5,76.7
S1272,Hilltop College,SS2,Male,Chemistry,Mr. Bello,69.4,43.9,51.2,76.5,62.4
S1273,Hilltop College,SS2,Male,Chemistry,Mrs. Mensah,92.8,73.0,56.1,56.7,59.8
S1274,Northview High,JSS2,Male,Physics,Mrs. Hassan,73.5,75.5,56.7,80.4,72.3
S1275,Hilltop College,SS2,Female,Chemistry,Mr. Ade,93.1,79.2,36.7,53.5,53.6
S1276,Northview High,JSS3,Male,Economics,Mr. Bello,60.0,55.3,57.2,50.3,53.4
S1277,Lakeside School,SS3,Female,Economics,Mrs. Okeke,72.3,61.9,87.2,67.9,72.5
S1278,Northview High,JSS2,Male,Mathematics,Mrs. Mensah,69.6,90.6,93.3,31.7,62.0
S1279,Lakeside School,SS2,Male,Chemistry,Mr. Bello,69.3,51.7,68.7,35.6,48.8
S1280,Hilltop College,JSS2,Male,Physics,Mr. Bello,62.7,89.6,64.6,59.3,66.9
S1281,Hilltop College,SS1,Male,Chemistry,Mr. Bello,67.5,73.8,37.0,96.0,73.9
S1282,Lakeside School,JSS1,Female,Biology,Mr. Ade,82.2,85.7,92.1,80.5,85.0
S1283,Greenfield Academy,SS3,Female,Biology,Mr. Ade,71.7,82.8,35.8,36.2,45.4
S1284,Lakeside School,JSS2,Male,Physics,Mrs. Okeke,76.7,52.5,96.4,89.2,84.0
S1285,Greenfield Academy,JSS1,Female,Mathematics,Mr. Yusuf,75.1,74.1,66.8,81.3,75.5
S1286,Northview High,SS2,Male,Mathematics,Mr. Yusuf,95.0,92.1,57.2,72.8,72.0
S1287,Northview High,JSS1,Male,Economics,Mr. Yusuf,96.2,65.9,95.1,87.4,85.4
S1288,Northview High,SS3,Male,Economics,Mrs. Mensah,79.7,98.0,36.6,58.3,59.7
S1289,Hilltop College,JSS2,Male,English,Mrs. Mensah,73.2,67.1,72.8,45.5,58.0
S1290,Northview High,SS1,Female,Physics,Mrs. Okeke,64.3,48.6,70.7,65.8,63.8
S1291,Greenfield Academy,SS2,Male,Chemistry,Mrs. Mensah,98.1,63.4,49.3,68.4,61.7
S1292,Northview High,JSS2,Male,Physics,Mr. Yusuf,62.4,97.1,62.9,67.7,72.1
S1293,Lakeside School,SS3,Female,English,Mr. Yusuf,71.9,59.2,77.4,69.6,69.9
S1294,Lakeside School,SS2,Male,Economics,Mr. Bello,71.9,92.1,82.3,96.4,91.3
S1295,Hilltop College,JSS3,Male,Physics,Mrs. Mensah,72.8,92.9,35.0,93.2,75.7
S1296,Lakeside School,JSS1,Male,Physics,Mr. Ade,66.6,61.0,95.9,91.3,86.6
S1297,Greenfield Academy,SS3,Female,Economics,Mr. Ade,91.3,45.0,45.7,86.1,65.8
S1298,Northview High,JSS3,Male,English,Mr. Bello,64.9,83.5,50.2,96.0,79.8
S1299,Hilltop College,JSS2,Female,Economics,Mr. Bello,85.4,58.7,52.1,36.9,45.8
S1300,Northview High,SS1,Male,Mathematics,Mr. Bello,65.0,87.0,37.5,48.6,53.0
S1301,Northview High,SS2,Male,Chemistry,Mr. Ade,62.8,66.6,43.0,64.7,58.6
S1302,Greenfield Academy,JSS1,Female,Economics,Mr. Yusuf,96.4,69.1,99.1,89.3,88.2
S1303,Lakeside School,SS2,Male,English,Mr. Bello,67.6,86.7,55.5,65.4,66.7
S1304,Lakeside School,JSS2,Male,Biology,Mrs. Okeke,92.9,62.9,42.5,82.4,66.5
S1305,Northview High,SS2,Female,Mathematics,Mr. Bello,81.8,66.6,42.0,39.7,45.8
S1306,Hilltop College,JSS1,Female,Biology,Mrs. Hassan,63.1,62.6,81.8,47.7,60.9
S1307,Lakeside School,JSS2,Female,Economics,Mr. Bello,98.2,62.0,90.5,81.2,80.2
S1308,Hilltop College,SS2,Female,Mathematics,Mr. Ade,69.9,71.6,51.7,41.5,50.6
S1309,Lakeside School,SS1,Female,Chemistry,Mrs. Mensah,94.4,88.5,36.4,54.6,55.9
S1310,Hilltop College,SS3,Male,Economics,Mr. Bello,66.8,61.7,49.5,48.5,51.4
S1311,Greenfield Academy,JSS2,Female,Chemistry,Mrs. Mensah,94.2,71.5,38.7,54.5,53.2
S1312,Hilltop College,SS3,Male,Physics,Mrs. Hassan,60.5,80.2,41.7,79.6,68.4
S1313,Greenfield Academy,JSS2,Male,Biology,Mrs. Okeke,80.5,56.2,63.0,55.7,58.0
S1314,Greenfield Academy,SS1,Male,Mathematics,Mrs. Mensah,90.8,56.7,49.9,68.9,60.8
S1315,Hilltop College,SS3,Female,Chemistry,Mr. Yusuf,97.4,96.0,68.5,37.0,58.2
S1316,Greenfield Academy,JSS3,Female,English,Mr. Bello,96.4,83.4,51.5,86.4,75.3
S1317,Northview High,JSS1,Male,Chemistry,Mrs. Hassan,92.8,74.6,96.1,55.9,71.7
S1318,Greenfield Academy,JSS3,Female,English,Mrs. Hassan,95.5,78.9,93.9,75.4,81.6
S1319,Lakeside School,SS2,Female,Economics,Mrs. Mensah,68.0,41.8,71.8,80.8,70.3
S1320,Hilltop College,SS1,Female,Mathematics,Mrs. Okeke,71.4,77.1,58.0,44.7,55.2
S1321,Northview High,JSS3,Female,Chemistry,Mr. Ade,71.6,70.6,59.8,91.9,78.0
S1322,Hilltop College,JSS2,Male,Chemistry,Mr. Bello,75.1,72.7,61.8,73.1,69.6
S1323,Lakeside School,SS2,Male,Mathematics,Mrs. Hassan,75.7,61.6,82.3,60.0,67.0
S1324,Lakeside School,SS2,Female,Chemistry,Mrs. Okeke,81.8,44.9,64.4,42.8,49.7
S1325,Lakeside School,JSS3,Male,English,Mr. Yusuf,66.4,51.6,90.7,96.0,85.5
S1326,Greenfield Academy,JSS3,Female,Chemistry,Mrs. Hassan,87.6,97.0,96.4,82.9,89.8
S1327,Greenfield Academy,SS1,Female,Biology,Mrs. Okeke,66.7,64.5,56.8,44.6,52.2
S1328,Hilltop College,JSS1,Male,Economics,Mr. Ade,72.4,68.0,71.4,53.6,61.8
S1329,Hilltop College,JSS3,Male,Physics,Mr. Ade,80.1,43.2,41.2,86.7,64.4
S1330,Northview High,JSS3,Male,English,Mrs. Hassan,91.9,42.3,48.0,78.7,62.2
S1331,Northview High,SS3,Female,Biology,Mrs. Hassan,89.6,83.0,61.9,83.6,77.0
S1332,Hilltop College,JSS2,Male,Economics,Mrs. Mensah,85.8,72.3,48.4,60.9,59.4
S1333,Greenfield Academy,SS3,Female,Mathematics,Mr. Bello,66.2,70.5,92.0,80.2,81.8
S1334,Lakeside School,SS3,Male,English,Mrs. Okeke,81.9,54.6,45.3,57.1,53.1
S1335,Hilltop College,SS2,Male,Physics,Mrs. Hassan,63.5,84.7,64.6,44.8,58.7
S1336,Northview High,JSS1,Female,Economics,Mr. Bello,75.1,50.1,74.4,74.3,69.5
S1337,Greenfield Academy,JSS2,Female,Physics,Mrs. Mensah,76.5,51.4,80.0,98.3,83.4
S1338,Hilltop College,SS1,Female,Mathematics,Mr. Bello,61.6,67.6,59.9,51.7,57.3
S1339,Hilltop College,SS1,Female,Mathematics,Mrs. Hassan,71.0,57.2,91.5,62.3,70.0
S1340,Greenfield Academy,JSS3,Female,English,Mr. Ade,98.2,54.8,71.9,77.2,71.1
S1341,Hilltop College,JSS3,Female,Chemistry,Mrs. Okeke,98.1,78.7,63.6,67.9,68.8
S1342,Greenfield Academy,SS1,Female,Mathematics,Mrs. Okeke,74.1,79.1,39.4,89.0,72.1
S1343,Lakeside School,JSS3,Female,Economics,Mr. Ade,61.7,89.5,65.2,83.3,79.1
S1344,Greenfield Academy,JSS1,Male,Chemistry,Mrs. Hassan,67.2,65.1,88.3,34.1,56.6
S1345,Greenfield Academy,SS3,Female,Biology,Mrs. Okeke,75.7,44.4,74.9,99.9,81.3
S1346,Greenfield Academy,JSS3,Female,Physics,Mrs. Hassan,97.9,56.4,89.1,82.7,79.4
S1347,Hilltop College,SS2,Male,Chemistry,Mrs. Mensah,65.6,98.8,67.1,90.5,85.1
S1348,Hilltop College,JSS3,Female,Physics,Mrs. Hassan,90.5,75.8,42.7,75.6,65.8
S1349,Greenfield Academy,JSS2,Male,Chemistry,Mr. Bello,64.3,82.6,35.9,89.9,72.2
S1350,Hilltop College,JSS1,Male,Biology,Mr. Ade,99.3,40.4,54.7,37.9,43.4
S1351,Northview High,JSS2,Female,Mathematics,Mrs. Hassan,75.3,71.1,80.4,54.3,65.5
S1352,Northview High,JSS2,Male,Biology,Mrs. Mensah,91.0,42.3,86.4,91.3,80.0
S1353,Hilltop College,SS2,Female,Mathematics,Mr. Yusuf,73.7,74.2,54.2,44.1,53.2
S1354,Hilltop College,JSS1,Male,Mathematics,Mr. Ade,85.1,95.2,67.2,35.5,57.0
S1355,Greenfield Academy,JSS1,Male,Physics,Mrs. Okeke,67.7,98.1,62.4,85.2,80.9
S1356,Lakeside School,JSS1,Male,Economics,Mr. Bello,65.8,72.4,61.7,88.5,77.2
S1357,Hilltop College,JSS1,Female,Biology,Mrs. Okeke,97.5,67.5,50.0,41.4,49.2
S1358,Northview High,JSS1,Female,Chemistry,Mrs. Mensah,96.7,96.7,43.9,89.8,77.4
S1359,Greenfield Academy,SS2,Male,Biology,Mrs. Mensah,95.5,80.4,47.8,78.1,69.5
S1360,Hilltop College,JSS3,Male,Physics,Mrs. Okeke,85.0,43.9,38.6,66.4,53.6
S1361,Northview High,JSS2,Female,Mathematics,Mr. Ade,92.3,67.9,47.9,88.1,72.0
S1362,Northview High,JSS1,Female,Physics,Mrs. Okeke,62.8,54.4,35.6,59.3,51.2
S1363,Lakeside School,JSS3,Male,English,Mrs. Hassan,73.4,68.2,75.8,43.6,58.2
S1364,Greenfield Academy,JSS3,Male,English,Mrs. Okeke,72.5,67.3,55.6,49.9,55.1
S1365,Greenfield Academy,JSS2,Female,Chemistry,Mr. Bello,85.4,74.9,98.3,65.4,77.2
S1366,Lakeside School,SS2,Female,Physics,Mr. Bello,74.2,61.4,47.6,67.2,60.2
S1367,Lakeside School,SS1,Female,Chemistry,Mr. Yusuf,65.9,49.9,57.5,86.4,70.4
S1368,Greenfield Academy,SS1,Female,Chemistry,Mr. Bello,83.9,70.2,58.3,85.4,74.2
S1369,Greenfield Academy,JSS3,Female,English,Mrs. Okeke,92.6,89.8,35.5,70.7,64.0
S1370,Hilltop College,SS3,Male,Chemistry,Mr. Bello,75.3,79.8,89.5,84.7,85.2
S1371,Hilltop College,SS3,Female,English,Mr. Ade,65.3,60.3,37.1,43.4,44.9
S1372,Lakeside School,JSS2,Male,Mathematics,Mr. Bello,67.9,96.1,96.1,33.5,64.8
S1373,Hilltop College,SS1,Female,Physics,Mrs. Hassan,69.5,94.7,93.0,91.2,92.4
S1374,Northview High,JSS3,Male,Chemistry,Mr. Ade,72.0,52.6,69.8,35.3,49.1
S1375,Hilltop College,SS2,Female,English,Mr. Yusuf,85.7,42.4,70.3,47.3,53.2
S1376,Hilltop College,SS1,Female,Biology,Mrs. Hassan,84.0,84.5,77.5,78.7,79.5
S1377,Northview High,JSS3,Male,Chemistry,Mrs. Okeke,87.8,89.7,60.2,58.7,65.4
S1378,Lakeside School,JSS3,Male,Economics,Mrs. Okeke,74.5,98.1,77.1,91.3,88.4
S1379,Northview High,JSS1,Female,Mathematics,Mrs. Okeke,93.0,93.4,37.9,50.9,55.5
S1380,Hilltop College,SS2,Female,Mathematics,Mrs. Hassan,68.2,76.0,38.5,30.8,42.2
S1381,Lakeside School,JSS1,Female,Biology,Mrs. Hassan,78.8,71.8,64.7,51.0,59.3
S1382,Hilltop College,JSS2,Female,English,Mrs. Hassan,92.0,41.7,70.7,70.5,64.8
S1383,Northview High,JSS1,Female,Chemistry,Mr. Ade,67.2,54.8,92.7,56.3,66.9
S1384,Northview High,JSS1,Male,English,Mrs. Mensah,64.4,67.6,41.8,67.4,59.8
S1385,Hilltop College,SS1,Male,Mathematics,Mr. Ade,95.3,77.7,88.5,91.4,87.8
S1386,Greenfield Academy,SS3,Female,English,Mrs. Okeke,73.7,73.4,48.7,93.9,76.2
S1387,Greenfield Academy,JSS3,Male,Mathematics,Mrs. Mensah,87.4,84.6,60.6,48.6,59.4
S1388,Northview High,SS2,Male,English,Mr. Bello,61.0,56.8,55.6,62.3,59.2
S1389,Northview High,JSS1,Male,Biology,Mrs. Okeke,87.6,73.9,61.0,68.4,67.3
S1390,Greenfield Academy,SS2,Female,Physics,Mr. Yusuf,72.6,45.3,44.8,96.4,70.7
S1391,Greenfield Academy,SS3,Male,Biology,Mr. Ade,62.2,64.8,67.7,99.9,83.2
S1392,Hilltop College,SS3,Female,Biology,Mrs. Hassan,84.4,85.0,87.1,46.5,66.4
S1393,Hilltop College,JSS1,Male,Physics,Mr. Ade,69.6,81.6,63.7,80.9,75.9
S1394,Greenfield Academy,JSS2,Female,Physics,Mrs. Hassan,75.5,99.4,66.9,56.5,68.2
S1395,Hilltop College,JSS1,Male,Chemistry,Mrs. Mensah,63.2,56.7,90.2,30.6,53.7
S1396,Hilltop College,SS1,Female,Chemistry,Mr. Yusuf,65.9,69.9,80.9,30.6,53.6
S1397,Lakeside School,JSS3,Female,Biology,Mrs. Mensah,71.9,59.8,66.9,62.2,63.1
S1398,Hilltop College,JSS2,Male,Biology,Mr. Yusuf,63.6,66.4,51.8,64.2,60.9
S1399,Northview High,JSS1,Female,Mathematics,Mr. Ade,96.4,91.4,92.5,31.6,61.8
S1400,Hilltop College,SS2,Female,Mathematics,Mrs. Hassan,60.2,81.1,72.5,78.1,77.0
S1401,Hilltop College,JSS2,Female,Chemistry,Mrs. Mensah,79.4,92.9,49.4,50.6,58.7
S1402,Greenfield Academy,JSS2,Female,Economics,Mr. Yusuf,64.9,52.2,52.5,69.2,60.8
S1403,Northview High,JSS1,Female,Economics,Mrs. Okeke,72.3,92.4,87.2,51.1,70.2
S1404,Hilltop College,JSS2,Female,Chemistry,Mrs. Okeke,97.0,43.6,37.9,41.7,40.9
S1405,Hilltop College,SS2,Female,Mathematics,Mrs. Mensah,66.5,93.3,99.5,58.5,77.8
S1406,Lakeside School,SS3,Female,Mathematics,Mrs. Hassan,98.6,59.7,43.5,46.3,48.1
S1407,Hilltop College,JSS2,Male,Economics,Mrs. Mensah,68.2,58.9,86.7,67.4,71.5
S1408,Hilltop College,SS3,Male,English,Mr. Ade,89.7,70.7,60.7,43.9,54.3
S1409,Lakeside School,SS2,Female,English,Mr. Yusuf,81.9,96.4,67.0,65.6,72.2
S1410,Greenfield Academy,JSS1,Female,Mathematics,Mr. Ade,95.4,42.9,92.2,41.0,56.7
S1411,Hilltop College,JSS3,Male,English,Mrs. Okeke,82.2,61.1,61.8,77.0,69.3
S1412,Lakeside School,JSS2,Male,Physics,Mr. Yusuf,81.4,91.4,69.9,82.8,80.6
S1413,Northview High,JSS3,Male,Chemistry,Mrs. Mensah,67.8,63.8,38.2,37.7,43.1
S1414,Greenfield Academy,SS2,Female,Chemistry,Mr. Ade,66.6,51.9,35.2,62.7,52.3
S1415,Northview High,JSS2,Male,Mathematics,Mr. Bello,96.7,65.5,50.9,35.0,45.9
S1416,Northview High,SS3,Female,Biology,Mrs. Hassan,73.1,63.1,79.2,71.9,72.3
S1417,Lakeside School,SS1,Female,Economics,Mrs. Hassan,74.9,94.9,42.9,48.5,56.1
S1418,Hilltop College,JSS3,Male,Mathematics,Mr. Bello,90.4,85.7,42.4,66.9,63.3
S1419,Lakeside School,JSS2,Female,English,Mrs. Okeke,73.6,70.3,61.7,66.2,65.7
S1420,Lakeside School,JSS3,Female,Economics,Mr. Yusuf,98.1,99.3,77.1,94.7,90.3
S1421,Lakeside School,JSS2,Female,Biology,Mrs. Hassan,89.5,67.9,81.3,68.4,72.2
S1422,Lakeside School,JSS1,Female,English,Mr. Bello,83.9,43.5,46.6,70.8,58.1
S1423,Greenfield Academy,SS3,Male,Physics,Mrs. Mensah,95.2,55.7,40.2,58.1,52.2
S1424,Hilltop College,JSS3,Male,English,Mr. Bello,62.0,66.2,96.1,96.4,90.3
S1425,Northview High,SS1,Female,Physics,Mrs. Okeke,70.3,49.4,51.9,84.4,67.6
S1426,Northview High,SS1,Female,Economics,Mrs. Okeke,78.6,96.9,90.5,50.0,71.5
S1427,Hilltop College,SS2,Male,Physics,Mr. Ade,69.1,86.0,91.1,89.1,89.1
S1428,Northview High,JSS2,Female,Economics,Mrs. Hassan,89.8,56.1,85.2,60.3,66.9
S1429,Hilltop College,JSS3,Male,Economics,Mr. Ade,96.8,75.4,46.0,88.0,72.9
S1430,Northview High,SS2,Female,Economics,Mr. Bello,77.0,83.3,88.4,87.6,87.0
S1431,Lakeside School,JSS3,Female,Economics,Mr. Yusuf,73.7,96.5,85.0,43.2,66.4
S1432,Northview High,JSS2,Male,Economics,Mr. Yusuf,98.5,92.9,73.8,79.1,80.3
S1433,Hilltop College,SS1,Male,English,Mrs. Okeke,77.8,70.9,56.9,50.3,56.4
S1434,Hilltop College,JSS1,Male,Economics,Mr. Yusuf,79.6,86.5,52.1,50.8,58.3
S1435,Hilltop College,SS1,Male,English,Mr. Yusuf,74.1,73.7,42.9,50.7,53.0
S1436,Hilltop College,SS2,Female,Economics,Mr. Yusuf,96.4,73.2,68.1,80.8,75.5
S1437,Hilltop College,SS3,Male,Physics,Mr. Bello,82.8,46.9,73.0,46.1,54.3
S1438,Greenfield Academy,JSS1,Female,Economics,Mr. Yusuf,90.5,47.6,58.4,30.1,42.1
S1439,Greenfield Academy,SS2,Male,Biology,Mrs. Mensah,92.5,71.8,65.9,80.1,74.2
S1440,Northview High,JSS2,Male,Economics,Mr. Yusuf,73.7,56.1,58.6,42.0,49.8
S1441,Hilltop College,JSS1,Female,Economics,Mr. Yusuf,77.3,41.3,76.7,37.3,49.9
S1442,Northview High,SS2,Male,Physics,Mr. Ade,93.9,83.4,93.6,46.6,68.1
S1443,Hilltop College,JSS2,Male,Chemistry,Mr. Bello,74.5,41.9,45.7,56.6,50.4
S1444,Hilltop College,SS1,Male,Physics,Mrs. Okeke,91.8,75.7,59.8,63.3,64.7
S1445,Greenfield Academy,SS3,Male,Biology,Mr. Ade,97.6,72.4,44.2,33.1,44.3
S1446,Greenfield Academy,JSS2,Female,Chemistry,Mrs. Hassan,84.9,98.1,75.6,97.9,91.2
S1447,Lakeside School,JSS3,Female,Mathematics,Mr. Bello,89.7,69.1,82.4,80.1,78.6
S1448,Greenfield Academy,JSS2,Male,Mathematics,Mrs. Mensah,92.2,43.8,95.6,52.6,63.7
S1449,Lakeside School,JSS2,Male,Biology,Mr. Bello,93.8,73.1,53.1,52.3,56.7
S1450,Lakeside School,SS3,Male,Physics,Mrs. Hassan,75.8,90.5,96.8,61.4,77.8
S1451,Lakeside School,JSS3,Female,English,Mrs. Hassan,62.1,99.8,39.1,73.8,68.6
S1452,Lakeside School,SS2,Female,Biology,Mrs. Hassan,76.1,65.8,74.2,40.2,55.5
S1453,Lakeside School,SS2,Female,Chemistry,Mrs. Okeke,87.0,59.2,38.7,43.2,45.1
S1454,Northview High,JSS2,Female,Chemistry,Mr. Yusuf,78.0,94.4,93.1,90.2,91.9
S1455,Greenfield Academy,JSS3,Male,Economics,Mr. Bello,90.0,51.5,69.4,47.9,55.1
S1456,Lakeside School,JSS3,Male,Mathematics,Mr. Yusuf,74.3,76.9,78.5,56.6,67.2
S1457,Hilltop College,SS3,Male,Chemistry,Mr. Yusuf,85.4,64.3,89.1,91.0,85.1
S1458,Greenfield Academy,SS1,Female,Biology,Mrs. Mensah,67.5,42.5,44.8,76.4,60.1
S1459,Greenfield Academy,SS2,Male,Chemistry,Mrs. Hassan,90.0,60.8,37.5,53.9,50.4
S1460,Lakeside School,SS3,Female,Biology,Mrs. Okeke,81.8,55.9,92.1,77.9,77.8
S1461,Northview High,JSS1,Female,English,Mrs. Mensah,68.2,81.2,55.5,31.4,48.6
S1462,Lakeside School,SS2,Male,Economics,Mr. Ade,71.7,96.9,43.4,81.5,73.2
S1463,Northview High,SS3,Male,Mathematics,Mrs. Okeke,89.9,56.1,65.4,64.1,62.9
S1464,Hilltop College,SS2,Male,Chemistry,Mr. Yusuf,79.3,88.7,73.9,86.9,83.4
S1465,Greenfield Academy,SS1,Female,Biology,Mrs. Okeke,68.6,43.3,37.0,96.8,68.2
S1466,Hilltop College,JSS1,Female,Physics,Mrs. Hassan,98.7,72.3,52.9,94.8,77.7
S1467,Northview High,SS1,Male,Mathematics,Mr. Ade,88.6,44.2,37.1,93.6,66.8
S1468,Northview High,JSS1,Male,English,Mrs. Hassan,98.3,96.0,62.3,65.9,70.8
S1469,Hilltop College,JSS2,Female,Biology,Mr. Ade,77.1,86.0,93.2,55.2,72.8
S1470,Northview High,SS3,Male,Economics,Mrs. Mensah,79.0,79.5,98.9,62.6,76.9
S1471,Hilltop College,JSS1,Female,Economics,Mr. Yusuf,95.9,89.4,76.4,78.3,80.0
S1472,Greenfield Academy,SS1,Female,English,Mr. Ade,81.0,78.9,45.5,91.9,75.4
S1473,Hilltop College,SS2,Male,English,Mr. Ade,88.3,98.1,93.9,44.5,70.0
S1474,Greenfield Academy,JSS1,Male,Economics,Mr. Ade,70.1,82.8,68.6,94.3,84.3
S1475,Hilltop College,SS3,Male,Chemistry,Mrs. Okeke,77.9,95.5,45.0,87.1,76.2
S1476,Northview High,JSS1,Male,Chemistry,Mrs. Mensah,64.9,71.0,94.9,98.5,91.9
S1477,Hilltop College,JSS3,Female,Biology,Mrs. Okeke,68.2,47.0,84.2,91.6,80.5
S1478,Northview High,SS2,Female,Physics,Mr. Yusuf,60.0,71.7,82.6,49.6,63.9
S1479,Hilltop College,SS3,Female,Biology,Mr. Ade,61.6,47.6,81.1,37.4,52.6
S1480,Hilltop College,SS3,Male,Physics,Mrs. Mensah,99.1,75.5,48.0,37.9,48.4
S1481,Lakeside School,JSS2,Female,English,Mrs. Mensah,69.7,68.9,48.7,50.4,53.6
S1482,Northview High,SS1,Male,Mathematics,Mr. Bello,86.5,77.4,79.7,73.0,75.9
S1483,Lakeside School,JSS2,Male,Biology,Mr. Yusuf,93.6,40.6,49.3,86.3,66.1
S1484,Northview High,SS3,Male,Biology,Mrs. Mensah,82.0,51.7,63.5,92.9,75.8
S1485,Lakeside School,SS2,Male,Physics,Mr. Ade,66.1,69.5,85.8,73.7,76.5
S1486,Greenfield Academy,JSS1,Male,English,Mr. Ade,89.1,97.0,86.0,30.4,60.4
S1487,Hilltop College,JSS1,Male,English,Mrs. Mensah,84.0,63.0,64.5,43.0,53.4
S1488,Northview High,SS2,Female,Physics,Mrs. Okeke,89.3,65.5,86.5,37.0,57.6
S1489,Northview High,SS3,Male,English,Mr. Yusuf,90.8,82.9,89.5,55.4,71.1
S1490,Hilltop College,JSS1,Female,Economics,Mr. Ade,99.0,76.2,77.6,65.1,71.1
S1491,Northview High,JSS1,Female,Chemistry,Mrs. Mensah,82.9,57.9,49.8,33.0,43.0
S1492,Northview High,JSS1,Male,Economics,Mr. Ade,73.7,64.6,52.8,54.4,56.0
S1493,Lakeside School,SS1,Male,Mathematics,Mrs. Mensah,85.9,53.1,55.5,42.5,48.5
S1494,Northview High,SS1,Male,Biology,Mr. Yusuf,62.7,98.0,42.6,75.3,70.0
S1495,Greenfield Academy,JSS3,Female,Mathematics,Mrs. Mensah,95.9,47.8,52.8,62.5,56.6
S1496,Greenfield Academy,JSS2,Male,Biology,Mr. Bello,64.8,62.3,48.6,64.7,59.4
S1497,Hilltop College,SS2,Female,Chemistry,Mrs. Mensah,73.1,41.6,64.6,59.9,57.6
S1498,Northview High,SS2,Male,English,Mrs. Mensah,92.6,53.3,94.0,96.9,87.3
S1499,Hilltop College,SS2,Male,Economics,Mr. Yusuf,83.9,86.8,41.8,45.0,52.4
S1500,Greenfield Academy,JSS3,Female,Physics,Mrs. Mensah,75.7,52.1,81.8,66.2,68.1
S1501,Northview High,SS1,Female,Economics,Mr. Yusuf,78.9,44.8,79.7,81.5,73.6
S1502,Northview High,SS3,Male,Chemistry,Mr. Bello,94.2,68.5,41.2,69.0,60.6
S1503,Hilltop College,SS3,Female,Mathematics,Mr. Yusuf,73.6,40.6,95.0,95.0,84.1
S1504,Greenfield Academy,JSS3,Female,Physics,Mr. Ade,94.8,45.1,72.0,56.5,58.9
S1505,Northview High,SS3,Female,English,Mr. Yusuf,63.5,88.5,58.6,62.5,66.5
S1506,Hilltop College,SS2,Female,Chemistry,Mr. Bello,91.1,86.3,84.2,36.2,60.6
S1507,Greenfield Academy,JSS2,Female,Physics,Mrs. Hassan,93.9,94.9,51.7,72.6,70.8
S1508,Hilltop College,JSS1,Male,Chemistry,Mrs. Mensah,67.3,91.3,80.1,50.2,67.4
S1509,Lakeside School,SS1,Male,Chemistry,Mr. Yusuf,77.2,81.0,37.6,41.2,48.1
S1510,Northview High,SS1,Female,English,Mrs. Mensah,66.6,43.1,89.6,68.1,69.6
S1511,Lakeside School,JSS3,Male,Biology,Mrs. Okeke,88.3,87.0,64.1,67.3,70.3
S1512,Greenfield Academy,SS1,Male,Physics,Mr. Ade,81.4,90.7,76.4,35.3,58.7
S1513,Lakeside School,SS2,Female,English,Mr. Ade,85.4,87.9,49.4,78.9,71.8
S1514,Lakeside School,SS3,Male,Chemistry,Mrs. Okeke,67.9,70.5,79.0,73.7,74.6
S1515,Greenfield Academy,SS2,Female,English,Mrs. Okeke,68.5,54.0,85.2,43.2,58.0
S1516,Hilltop College,JSS3,Female,Biology,Mr. Yusuf,61.7,90.7,65.8,62.9,69.3
S1517,Lakeside School,SS2,Male,Economics,Mrs. Okeke,72.9,83.6,75.2,80.4,79.5
S1518,Hilltop College,SS3,Female,Physics,Mrs. Hassan,82.4,98.8,64.7,67.1,72.7
S1519,Lakeside School,JSS2,Female,Biology,Mrs. Mensah,94.3,49.3,93.1,57.7,66.6
S1520,Hilltop College,JSS3,Female,Mathematics,Mrs. Mensah,86.7,53.5,67.4,52.6,57.2
S1521,Greenfield Academy,JSS2,Female,Physics,Mr. Bello,77.4,52.7,89.7,72.7,73.8
S1522,Lakeside School,JSS1,Female,Biology,Mrs. Okeke,98.1,87.6,87.1,95.7,91.5
S1523,Greenfield Academy,JSS2,Male,Chemistry,Mrs. Okeke,88.8,51.2,61.7,77.0,67.2
S1524,Lakeside School,JSS1,Male,Physics,Mrs. Hassan,97.2,44.0,50.0,35.2,41.4
S1525,Greenfield Academy,JSS1,Female,Physics,Mr. Ade,81.1,99.9,61.4,62.2,69.5
S1526,Greenfield Academy,JSS2,Female,English,Mr. Ade,70.4,41.5,88.7,92.4,81.1
S1527,Lakeside School,JSS3,Male,Chemistry,Mrs. Mensah,62.1,90.1,49.8,36.6,51.3
S1528,Lakeside School,SS3,Female,Mathematics,Mrs. Mensah,89.0,61.9,69.1,99.2,82.7
S1529,Lakeside School,SS2,Male,Economics,Mr. Yusuf,64.9,90.5,87.4,96.4,92.5
